#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321AA294A
#Date Time: 2025-12-03 02:07:16.358
#Trace: Trace 1
#Start: 0 Hz
#Stop: 10296.5 Hz
#BINs: 4097
#Rate: 20593.1 Hz
#Samples: 8192
#Channel: C1
#Type: Sample
#Window: Flat Top
#Trace: Trace 2
#Start: 0 Hz
#Stop: 10296.5 Hz
#BINs: 4097
#Rate: 20593.1 Hz
#Samples: 8192
#Channel: C2
#Type: Sample
#Window: Flat Top
#Channel: C1
#Range: 5.52387 V
#Offset: 2.0171e-05 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.53977 V
#Offset: -0.000132272 V
#Attenuation: 1 X
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 10 kHz
#Period: 100 us
#Amplitude: 15 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Frequency (Hz)	Trace 1 (dBV)	Phase (deg)	Trace 2 (dBV)	Phase (deg)
0	-64.59486511641408	180	-74.44313186393819	180
2.513803799423394	-64.85644013517077	-1.223524877892859	-74.64042889197025	-2.749723971470051
5.027607598846788	-67.46067111723482	172.9347743829722	-77.39164384844786	171.3764019791779
7.541411398270181	-73.1346748368333	26.39952423449536	-83.97720977951865	-24.76184382037365
10.05521519769358	-68.89171879602681	-100.8430913391634	-89.86012777874591	132.214894359166
12.56901899711697	-65.26205484543867	79.18256326047228	-94.01793598862652	-50.88248195723818
15.08282279654036	-63.78750772249285	-108.0287828727095	-94.99226978845086	147.6622594258777
17.59662659596376	-65.83439898299973	65.48812174864756	-92.06320833292311	-36.00587804141773
20.11043039538715	-69.43653041243695	-138.1806620980809	-89.88449833987168	121.8738980672058
22.62423419481054	-72.02622119306236	13.67755775997962	-88.82419845550665	-81.27947757831032
25.13803799423394	-81.64709024875401	118.6449917855208	-88.72833959772046	79.35320471526585
27.65184179365733	-75.71117868871778	-168.3669354484219	-91.75586755191424	-119.0445762509587
30.16564559308073	-72.8118732867628	-25.83648322364847	-97.35349617196638	7.159054040403316
32.67944939250412	-72.62664450550277	166.5243703237481	-95.21049813422813	127.2119097902566
35.19325319192752	-75.26036506812173	-2.138761542738667	-93.62454804683701	-58.13408588869065
37.70705699135091	-89.70413437619841	19.45054234091663	-92.85744541833621	135.900076299183
40.2208607907743	-74.13254836089492	131.0892591847649	-91.91054782993588	-53.38394761028396
42.7346645901977	-73.97819193876978	-60.91061489297716	-93.10546077468135	116.1418067994722
45.24846838962109	-82.09911081057199	-159.0522070886761	-93.82236541251821	-57.15775372521001
47.76227218904449	-88.27912624591215	88.32083732378607	-92.76571837414761	122.9756999927975
50.27607598846788	-79.09757463171404	-20.7142661564856	-99.62107046557678	-84.92924615513617
52.78987978789127	-72.33977125122026	117.9380403110964	-98.59271898710341	5.217610494325582
55.30368358731467	-73.20758618265684	-100.6848718164596	-96.94465094779079	169.6285545809224
57.81748738673806	-73.2866910182865	35.13641118854419	-93.2887211555803	-21.72745933111888
60.33129118616145	-75.614099921955	-152.0451652710701	-92.53330567057316	171.9125405228112
62.84509498558485	-82.31926283713517	-45.36896647052578	-99.77096064512274	51.00718505240112
65.35889878500824	-73.0303424964993	46.54628364967372	-97.38165544144971	-76.09379836447573
67.87270258443164	-65.58458550834361	-153.2392125055301	-93.10099039224366	61.76064897929094
70.38650638385504	-62.76590471271504	30.0975810949122	-89.26730799933256	-129.3939900499149
72.90031018327842	-63.50499705730114	-146.8531874344499	-89.43144709776553	43.38001666875351
75.41411398270182	-66.77888591555507	29.30451039400147	-89.27052738615052	-145.660281997978
77.92791778212521	-70.95394446935879	-152.9615364759261	-89.16007647119949	33.38695779343848
80.44172158154861	-79.3018818618292	23.36789656096078	-90.47690256143495	-156.7681346531345
82.95552538097201	-83.1957041682064	82.31122678386943	-90.44370067445556	15.24555419694298
85.46932918039539	-78.23729382794048	-110.1507412652976	-91.98512178863621	-151.6615913136535
87.98313297981879	-76.45393828614415	43.94784671469275	-94.76653867022321	38.86506512471211
90.49693677924218	-73.44346060198772	-167.7825135605378	-93.0426251197178	-161.2426917967261
93.01074057866558	-69.00328103959795	-3.619371669771311	-92.33494378238922	5.402458371520966
95.52454437808898	-65.58267532759467	173.4139671836861	-92.41091776022616	-179.2477920602928
98.03834817751236	-65.58349852937044	-11.20506939238186	-89.29344188199536	-1.352775981374182
100.5521519769358	-68.9976425236014	165.4266895787693	-89.50160834557644	171.8697046245937
103.0659557763591	-76.61196615601051	-35.55596981113606	-95.77824707675335	2.206341366693601
105.5797595757825	-73.7888957956834	35.26687692093225	-96.45569835362586	-121.3442706435099
108.0935633752059	-68.25136621853792	-171.4548068637032	-94.54631315885008	58.33118598867563
110.6073671746293	-67.13568059719169	1.112933325552219	-94.06289163841898	-138.7388910565654
113.1211709740527	-66.51876175633667	175.8979675033441	-91.80565238421065	22.96049077182403
115.6349747734761	-64.5005181471434	-19.19798216724147	-91.32301699137938	-179.8442734375295
118.1487785728995	-63.24193393854248	155.4029156112483	-93.49017132792461	-24.55256309442048
120.6625823723229	-63.59173702674318	-21.76404444635666	-103.5081911627896	107.1275810644832
123.1763861717463	-65.58116842825302	160.2737832392239	-93.60349076582766	-176.0530449031701
125.6901899711697	-70.08921977189434	-21.20377656874139	-88.5829770416849	0.09665372179492321
128.2039937705931	-72.68293366614238	160.3223924536132	-88.72555414212542	-170.6725726742842
130.7177975700165	-72.56641203414418	-8.418296738959791	-90.58388186463405	33.61961132387418
133.2316013694399	-71.48843035041692	-177.9023102831786	-90.92696204816517	-119.6558806691079
